,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
377,V\xc3\xadctor Robles,29,41,Maj-AL,Seattle,4,13,13,0,3,1,0,0,1,0,0,3,0,0,0,0,1,0,0.231,0.231,0.308,0.538,645302
378,Brayan Rocchio,25,1,Maj-AL,Cleveland,43,162,142,17,39,5,0,3,22,14,0,16,3,2,1,3,7,3,0.275,0.35,0.373,0.723,677587
379,Endy Rodr\xc3\xadguez,26,0,Maj-NL,Pittsburgh,1,4,3,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0.667,0.75,1.0,1.75,682848
380,Jes\xc3\xbas Rodr\xc3\xadguez,24,1,Maj-NL,San Francisco,7,26,24,1,6,0,0,1,4,1,0,4,1,0,0,1,1,0,0.25,0.308,0.375,0.683,683679
381,Johnathan Rodr\xc3\xadguez,26,25,Maj-AL,Baltimore,5,11,7,0,0,0,0,0,1,3,0,4,0,0,1,1,0,0,0.0,0.273,0.0,0.273,671286
382,Julio Rodr\xc3\xadguez,25,0,Maj-AL,Seattle,45,197,180,22,47,9,0,7,20,15,1,47,2,0,0,3,3,2,0.261,0.325,0.428,0.753,677594
383,Jake Rogers,31,0,Maj-AL,Detroit,13,43,38,4,6,2,1,0,4,2,0,12,1,0,2,0,1,0,0.158,0.209,0.263,0.472,668670
384,Miguel Rojas,37,0,Maj-NL,Los Angeles,27,73,67,5,19,3,0,1,6,4,0,8,0,1,1,3,0,1,0.284,0.319,0.373,0.693,500743
385,Drew Romo,24,1,Maj-AL,Chicago,11,40,31,6,5,1,0,4,6,8,0,9,1,0,0,0,0,0,0.161,0.35,0.581,0.931,691011
386,Brent Rooker,31,0,Maj-AL,Athletics,27,116,100,9,19,2,0,5,18,14,1,36,0,0,2,2,2,0,0.19,0.284,0.36,0.644,667670
387,Amed Rosario,30,2,Maj-AL,New York,25,79,71,10,19,2,1,4,15,6,0,15,0,0,2,1,0,0,0.268,0.316,0.493,0.809,642708
388,Esteury Ruiz,27,0,Maj-NL,Miami,15,23,23,6,5,2,0,2,3,0,0,8,0,0,0,0,7,0,0.217,0.217,0.565,0.783,665923
389,Keibert Ruiz,27,1,Maj-NL,Washington,27,85,82,9,17,8,0,3,15,1,0,14,1,0,1,4,0,0,0.207,0.224,0.415,0.638,660688
391,TJ Rumfield,26,0,Maj-NL,Colorado,43,175,157,18,44,7,1,6,22,15,0,29,2,0,1,1,0,0,0.28,0.349,0.452,0.801,681198
392,Dalton Rushing,25,0,Maj-NL,Los Angeles,22,74,66,14,19,2,0,7,17,5,0,21,3,0,0,1,0,0,0.288,0.365,0.636,1.001,687221
393,Adley Rutschman,28,1,Maj-AL,Baltimore,28,112,103,14,30,9,0,6,24,7,0,16,1,0,1,2,0,0,0.291,0.339,0.553,0.893,668939
394,Thomas Saggese,24,0,Maj-NL,St. Louis,22,65,61,6,9,2,0,0,2,4,0,22,0,0,0,2,0,1,0.148,0.2,0.18,0.38,695336
395,C\xc3\xa9sar Salazar,30,0,Maj-AL,Houston,3,10,8,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0.125,0.3,0.125,0.425,663967
396,Gary S\xc3\xa1nchez,33,0,Maj-NL,Milwaukee,29,104,84,15,17,3,1,5,15,19,0,22,1,0,0,2,0,0,0.202,0.356,0.44,0.796,596142
